module,type,name,res_id,src,value,comments
account,code,addons/account/models/account_bank_statement.py,469,%d transactions were automatically reconciled.,%d transaksi telah direkonsiliasi secara otomatis,
account,code,addons/account/models/account.py,642,%s (Copy),%s (Salinan),
account,code,addons/account/models/account.py,172,%s (copy),%s (salinan),
account,code,addons/account/models/account.py,352,%s (copy),%s (salinan),
account,code,addons/account/models/account.py,353,%s (copy),%s (salinan),
account,model,"ir.ui.view,arch_db",account.external_layout_footer,&amp;bull;,&amp;bull;,
account,model,"ir.ui.view,arch_db",account.account_planner,", if accounting or purchase is installed",", jika modul Akunting atau Pembelian dipasang",
account,model,"ir.ui.view,arch_db",account.view_account_form,-> Reconcile,-> Rekonsiliasi,
account,model,"ir.ui.view,arch_db",account.view_move_line_form,-> View partially reconciled entries,Lihat entri yang sebagian direkonsiliasi,
account,code,addons/account/models/account_bank_statement.py,470,1 transaction was automatically reconciled.,1 transaksi telah direkonsiliasi secara otomatis,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,15 Hari,
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,30 Hari,
account,model,"ir.ui.view,arch_db",account.account_planner,"5) For setup, you will need the following information:","5) Untuk Setup, anda akan membutuhkan informasi berikut :",
account,model,"ir.ui.view,arch_db",account.report_generalledger,: General ledger,: Buku Besar,
account,code,addons/account/models/account.py,411,: Refund,: Pengembalian,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,: Trial Balance,: Neraca Saldo,
account,model,"mail.template,body_html",account.mail_template_data_notification_email_account_invoice,"<html>
                <head></head>
                % set record = ctx.get('record')
                % set company = record and record.company_id or user.company_id
                <body style=""margin: 0; padding: 0;"">
                <table border=""0"" width=""100%"" cellpadding=""0"" bgcolor=""#ededed"" style=""padding: 20px; background-color: #ededed; border-collapse:separate;"" summary=""o_mail_notification"">
                    <tbody>

                      <!-- HEADER -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                            <tr>
                              <td valign=""middle"">
                                  <span style=""font-size:20px; color:white; font-weight: bold;"">
                                      Invoice ${object.record_name}
                                  </span>
                              </td>
                              <td valign=""middle"" align=""right"">
                                  <img src=""/logo.png?company=${company.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${company.name}"">
                              </td>
                            </tr>
                          </table>
                        </td>
                      </tr>

                      <!-- CONTENT -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#ffffff"" style=""min-width: 590px; background-color: rgb(255, 255, 255); padding: 20px; border-collapse:separate;"">
                            <tbody>
                              <td valign=""top"" style=""font-family:Arial,Helvetica,sans-serif; color: #555; font-size: 14px;"">
                                ${object.body | safe}
                              </td>
                            </tbody>
                          </table>
                        </td>
                      </tr>

                      <!-- FOOTER -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                            <tr>
                              <td valign=""middle"" align=""left"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                                ${company.name}<br/>
                                ${company.phone or ''}
                              </td>
                              <td valign=""middle"" align=""right"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                                % if company.email:
                                <a href=""mailto:${company.email}"" style=""text-decoration:none; color: white;"">${company.email}</a><br/>
                                % endif
                                % if company.website:
                                    <a href=""${company.website}"" style=""text-decoration:none; color: white;"">
                                        ${company.website}
                                    </a>
                                % endif
                              </td>
                            </tr>
                          </table>
                        </td>
                      </tr>
                      <tr>
                        <td align=""center"">
                            Powered by <a href=""https://www.odoo.com"">Odoo</a>.
                        </td>
                      </tr>
                    </tbody>
                </table>
                </body>
                </html>
            ","<html>
                <head></head>
                % set record = ctx.get('record')
                % set company = record and record.company_id or user.company_id
                <body style=""margin: 0; padding: 0;"">
                <table border=""0"" width=""100%"" cellpadding=""0"" bgcolor=""#ededed"" style=""padding: 20px; background-color: #ededed; border-collapse:separate;"" summary=""o_mail_notification"">
                    <tbody>

                      <!-- HEADER -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                            <tr>
                              <td valign=""middle"">
                                  <span style=""font-size:20px; color:white; font-weight: bold;"">
                                      Invoice ${object.record_name}
                                  </span>
                              </td>
                              <td valign=""middle"" align=""right"">
                                  <img src=""/logo.png?company=${company.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${company.name}"">
                              </td>
                            </tr>
                          </table>
                        </td>
                      </tr>

                      <!-- CONTENT -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#ffffff"" style=""min-width: 590px; background-color: rgb(255, 255, 255); padding: 20px; border-collapse:separate;"">
                            <tbody>
                              <td valign=""top"" style=""font-family:Arial,Helvetica,sans-serif; color: #555; font-size: 14px;"">
                                ${object.body | safe}
                              </td>
                            </tbody>
                          </table>
                        </td>
                      </tr>

                      <!-- FOOTER -->
                      <tr>
                        <td align=""center"" style=""min-width: 590px;"">
                          <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                            <tr>
                              <td valign=""middle"" align=""left"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                                ${company.name}<br/>
                                ${company.phone or ''}
                              </td>
                              <td valign=""middle"" align=""right"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                                % if company.email:
                                <a href=""mailto:${company.email}"" style=""text-decoration:none; color: white;"">${company.email}</a><br/>
                                % endif
                                % if company.website:
                                    <a href=""${company.website}"" style=""text-decoration:none; color: white;"">
                                        ${company.website}
                                    </a>
                                % endif
                              </td>
                            </tr>
                          </table>
                        </td>
                      </tr>
                      <tr>
                        <td align=""center"">
                            Powered by <a href=""https://www.odoo.com"">Odoo</a>.
                        </td>
                      </tr>
                    </tbody>
                </table>
                </body>
                </html>
            ",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""fa fa-arrow-circle-o-down""/> Install Now","<span class=""fa fa-arrow-circle-o-down""/> Pasang Sekarang",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""fa""/> Invite Your Users","<span class=""fa""/> Undang Pengguna lain",
account,model,"ir.ui.view,arch_db",account.partner_view_buttons,"<span class=""o_stat_text"">Invoiced</span>","<span class=""o_stat_text"">tagihan</span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""/>
                                        <strong>Import a file</strong><br/>
                                        <span class=""small"">Recommended if &gt;100 products</span>
                                    </span>","<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""></span>
                                        <strong>Mengimpor file</strong><br/>
                                        <span class=""small"">Apabila yang disarankan &gt; 100 produk</span>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""/>
                                        <strong>Import</strong><br/>
                                        <span class=""small"">&gt; 200 contacts</span>
                                    </span>","<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""></span>
                                        <strong>Impor</strong><br/>
                                        <span class=""small"">&gt; Kontak 200</span>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">&lt; 200 contacts</span>
                                    </span>","<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""></span>
                                        <strong>Membuat manual</strong><br/>
                                        <span class=""small"">&lt; 200 kontak</span>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">Recommended if &lt;100 products</span>
                                    </span>","<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""></span>
                                        <strong>Membuat manual</strong><br/>
                                        <span class=""small"">Apabila yang disarankan &lt; 100 produk</span>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Accountant</strong> (Advanced access)
                                    </span>","<span class=""panel-title"">
                                        <strong>Akuntan</strong> (Akses)</span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Advisor</strong> (Full access)
                                    </span>","<span class=""panel-title"">
                                        <strong>Penasihat</strong> (Akses penuh)</span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Billing</strong> (Limited access)
                                    </span>","<span class=""panel-title"">
                                        <strong>Penagihan</strong> (Akses terbatas)</span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Customer follow-up</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>Tindak lanjut pelanggan</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Check</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>tagihan pembayaran dengan cek</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Wire Transfer</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>Pembayaran tagihan Wire transfer</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Pay your bills</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>Membayar tagihan Anda</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Reconcile Bank Statements</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>Mendamaikan laporan Bank</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Record your Bills</strong>
                                    </span>","<span class=""panel-title"">
                                        <strong>Merekam tagihan Anda</strong>
                                    </span>",
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Balance in Odoo"">Balance in GL</span>","<span title=""Balance in Odoo"">Saldo dalam GL</span>",
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Latest Statement"">Latest Statement</span>","<span title=""Latest Statement"">Rekapan Terakhir</span>",
account,model,"ir.ui.view,arch_db",account.view_account_position_form,<span> From </span>,<span> Dari </span>,
account,model,"ir.ui.view,arch_db",account.view_account_position_form,<span> To </span>,<span> Kepada </span>,
account,model,"ir.ui.view,arch_db",account.view_account_config_settings,<span>(*) This configuration is related to the company you're logged into.</span>,<span>(*) Konfigurasi berikut berkaitan dengan perusahaan di mana anda login.</span>,
account,model,"ir.ui.view,arch_db",account.account_invoice_report_duplicate,<span>Duplicate</span>,<span>Duplikat</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Bill</span>,<span>Tagihan Baru</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Invoice</span>,<span>Tagihan Baru</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New</span>,<span>Baru</span>,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<span>Not due</span>,<span>Belum Jatuh Tempo</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Operations</span>,<span>Kegiatan</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reconciliation</span>,<span>Rekonsiliasi</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reports</span>,<span>Laporan</span>,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>View</span>,<span>Lihat</span>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>-The Odoo Team</strong>,<strong>-Tim Odoo</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>1. Register Outstanding Invoices</strong>,<strong>1. Daftar Tagihan yang Beredar</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>2. Register Unmatched Payments</strong>,<strong>2. Daftar Pembayaran yang Kurang Tepat</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Assets Management</strong>,<strong>Manajemen Aset</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Automated documents sending:</strong> automatically send your invoices by email or snail mail.,<strong>Pengiriman Dokumen Otomatis:</strong> secara otomatis mengirim tagihan Anda via email.,
account,model,"ir.ui.view,arch_db",account.report_overdue_document,<strong>Balance :</strong>,<strong>Saldo :</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Banking interface:</strong> with live bank feed synchronization and bank statement import.,<strong>Interface Perbankan:</strong> dengan live bank feed synchronization dan import bank statement.,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Cash transactions</strong><br/> (for which there is no invoice or bill), should be entered directly into your Cash Registers bank account.","<strong>Transaksi tunai</strong><br/>(untuk yang ada invoice atau tagihan), harus dimasukkan langsung ke akun bank Cash Register.",
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Check the Taxes configuration:</strong>,<strong>Periksa Konfigurasi Pajak:</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Check unpaid invoices</strong><br/>
                                         Run an <i>Aged Receivable report</i> and check which customers still owe you money.",<strong>Periksa tagihan yang belum dibayar</strong><br/>Menjalankan <i>laporan berusia piutang</i> dan cek pelanggan yang masih berutang uang.,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Clean customer invoices:</strong> easy to create, beautiful and full featured invoices.","<strong>Bersih tagihan pelanggan:</strong> mudah untuk membuat, indah dan penuh tagihan Terpilih.",
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Comment:</strong>,<strong>Komentar:</strong>,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Company:</strong>,<strong>Perusahaan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Company:</strong>,<strong>Perusahaan:</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Contracts &amp; Subscriptions</strong>,<strong>Kontrak &amp; Langganan</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Create a Customer Invoice</strong>,<strong>Membuat sebuah Tagihan Pelanggan</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Create a Deposit Ticket</strong><br/>
                                        This allows you to record the different payments that constitute your bank deposit. (You may need to",<strong>Membuat Deposit Tiket</strong><br/>Hal ini memungkinkan Anda untuk merekam pembayaran berbeda yang merupakan deposito bank Anda. (Anda mungkin perlu,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Create the bill in Odoo</strong><br/> with a proper due date, and create the vendor if it doesnt' exist yet.","<strong>Membuat tagihan di Odoo</strong><br/>dengan tepat tanggal, dan menciptakan vendor jika tidak ' belum.",
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Customer Code:</strong>,<strong>Kode Pelanggan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_financial,<strong>Date from :</strong>,<strong>Dari tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Date from :</strong>,<strong>Dari tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Date from :</strong>,<strong>Dari tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Date from :</strong>,<strong>Dari tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_financial,<strong>Date to :</strong>,<strong>Sampai Tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Date to :</strong>,<strong>Sampai Tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Date to :</strong>,<strong>Sampai Tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Date to :</strong>,<strong>Sampai Tanggal:</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Deposit Tickets</strong>,<strong>Deposit Tiket</strong>,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Description:</strong>,<strong>Keterangan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Display Account:</strong>,<strong>Menampilkan Akun:</strong>,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Display Account</strong>,<strong>Tampilan Akun</strong>,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Due Date:</strong>,<strong>Tanggal Jatuh Tempo:</strong>,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Entries Sorted By:</strong>,<strong>Urutan Entri:</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Expenses</strong>,Beban,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Fiscal Position Remark:</strong>,<strong>Posisi fiskal Catatan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Invoice Date:</strong>,<strong>Tanggal Tagihan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Journal:</strong>,<strong>Jurnal:</strong>,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Journals:</strong>,<strong>Jurnal:</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Mark the bills to pay</strong><br/>
                                        Group or filter your bills to see those due in the next week, then open each bill individually, click on <strong>'Pay'</strong> and select the payment method you prefer.","<strong>Menandai membayar tagihan</strong><br/>Kelompok atau filter tagihan Anda untuk melihat orang-orang karena pada minggu berikutnya, kemudian buka setiap tagihan secara individual, klik pada <strong>'Membayar'</strong> dan pilih metode pembayaran yang Anda inginkan.",
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Next action:</strong><br/>,<strong>Tindakan berikutnya:</strong><br/>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>On-the-fly payment reconciliation:</strong> automatic suggestions of outstanding payments when creating invoices.,<strong>On-the-fly pembayaran rekonsiliasi:</strong> otomatis saran dari pembayaran yang luar biasa ketika membuat tagihan.,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Or generate payment orders</strong><br/>
                                        Create a Payment Order and select the bills you'd like to pay as Entry lines (only the validated bills will appear).",<strong>Atau menghasilkan perintah pembayaran</strong><br/>Membuat pembayaran Order dan pilih tagihan Anda ingin membayar sebagai catatan garis (hanya divalidasi tagihan akan muncul).,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Partner's:</strong>,<strong>Rekanan:</strong>,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<strong>Period Length (days)</strong>,<strong>Periode panjang (hari)</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Print checks</strong><br/>
                                        From the Vendor Payments list, select those you want to pay and click on Print Check (you may first need to activate the check feature in the","<strong>Cetak cek</strong><br/>Dari daftar Vendor pembayaran, pilih yang ingin Anda membayar dan klik cetak cek (Anda mungkin perlu untuk mengaktifkan fitur check di",
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Purchases</strong>,<strong>Pembelian</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Reconcile Bank Statement</strong>,<strong>Rekonsiliasi Rekening Bank</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Reconcile with existing transaction</strong><br/>
                                        In this case, Odoo should automatically match the bank statement with the previously recorded check transaction.","<strong>Mendamaikan dengan transaksi yang ada</strong><br/>Dalam kasus ini, Odoo harus secara otomatis sesuai pernyataan bank dengan transaksi check direkam sebelumnya.",
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Reconcile your Bank Statements</strong>,<strong>Merekonsiliasi Rekening Bank Anda</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Record Bank Statement (or import file)</strong><br/>
                                        Depending on the volume of your transactions, you should be recording your bank statement every week to several times a day.","<strong>Merekam pernyataan Bank (atau mengimpor file)</strong><br/>Tergantung pada volume transaksi Anda, Anda harus merekam pernyataan bank Anda setiap minggu untuk beberapa kali sehari.",
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Record Bank Statement</strong>,<strong>Rekaman Rekening Bank</strong>,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Record a payment by check on the Invoice</strong><br/>
                                        Simply click on the 'Pay' button.",<strong>Rekam pembayaran dengan cek di tagihan</strong><br/>Cukup klik pada tombol 'Membayar'.,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Reduced data entry:</strong> no need to manually create invoices, register bank statements, and send payment follow-ups.","<strong>Dikurangi entri data:</strong> tidak perlu secara manual membuat tagihan, mendaftar pernyataan bank, dan mengirim pembayaran tindak lanjut.",
